Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
97.0,2.2305952850804465,2.4391778296890667,-1.0,-1.0,-1.0,-1.0,3.340038033957961
98.0,2.310860746322344,2.4991133004304356,-1.0,-1.0,-1.0,-1.0,3.1838351475576503
99.0,2.0064580088356556,2.3545800573163205,-1.0,-1.0,-1.0,-1.0,2.9684303915479577
100.0,2.1070566437069362,2.386867212849688,-1.0,-1.0,-1.0,-1.0,3.426761330387168
101.0,2.2826346586688744,2.4673880607023917,-1.0,-1.0,-1.0,-1.0,3.5687309225469996
102.0,2.2423835405224497,2.45052666165364,-1.0,-1.0,-1.0,-1.0,3.490987032313439
103.0,2.171070962648825,2.3318232285103733,-1.0,-1.0,-1.0,-1.0,3.721708640960311
104.0,2.1739987486885104,2.3673924890092337,-1.0,-1.0,-1.0,-1.0,4.078267982809724
105.0,2.0235764975123076,2.3400767901675716,-1.0,-1.0,-1.0,-1.0,3.201757986613868
106.0,2.094445122614402,2.3397156038272753,-1.0,-1.0,-1.0,-1.0,2.7031721491360443
107.0,2.0815562385440898,2.317634080116941,-1.0,-1.0,-1.0,-1.0,2.7461895658126085
108.0,2.0743680110901317,2.319544817949416,-1.0,-1.0,-1.0,-1.0,2.6832846326270174
109.0,2.016416665181223,2.3310993023305793,-1.0,-1.0,-1.0,-1.0,2.787682671781708
110.0,2.1227579516803234,2.4021429374211167,-1.0,-1.0,-1.0,-1.0,3.170795799101748
111.0,2.076585694582708,2.383431493692139,-1.0,-1.0,-1.0,-1.0,2.183301783427603
112.0,2.07915158954454,2.4199461748858235,-1.0,-1.0,-1.0,-1.0,2.188513323089368
113.0,2.0782483179267537,2.384452250951596,-1.0,-1.0,-1.0,-1.0,2.582782872396351
114.0,2.1891373546930484,2.4121236841991633,-1.0,-1.0,-1.0,-1.0,3.0911488110613377
